COUNTRY,GDP PER CAPITA(2020),,,
Aruba,23384.30,,,
Africa Eastern and Southern,1360.88,,,
Afghanistan,516.75,,,
Africa Western and Central,1709.76,,,
Angola,1631.43,,,
Albania,5332.16,,,
Andorra,37416.70,,,
Arab World,5724.29,,,
United Arab Emirates,36284.56,,,
Argentina,8585.69,,,
Armenia,4266.02,,,
American Samoa,12844.90,,,
Antigua and Barbuda,13992.74,,,
Australia,51680.32,,,
Austria,48588.66,,,
Azerbaijan,4229.91,,,
Burundi,233.84,,,
Belgium,45189.37,,,
Benin,1291.04,,,
Burkina Faso,857.93,,,
Bangladesh,2270.35,,,
Bulgaria,10079.20,,,
Bahrain,20406.50,,,
"Bahamas, The",24665.10,,,
Bosnia and Herzegovina,6082.37,,,
Belarus,6555.43,,,
Belize,3987.80,,,
Bermuda,107706.04,,,
Bolivia,3137.99,,,
Brazil,6814.88,,,
Barbados,16318.75,,,
Brunei Darussalam,27442.95,,,
Bhutan,3000.78,,,
Botswana,6348.83,,,
Central African Republic,481.75,,,
Canada,43258.26,,,
Central Europe and the Baltics,16197.30,,,
Switzerland,87100.41,,,
Channel Islands,,,,
Chile,13220.57,,,
China,10408.67,,,
Cote d'Ivoire,2325.72,,,
Cameroon,1537.13,,,
"Congo, Dem. Rep.",543.95,,,
"Congo, Rep.",1899.78,,,
Colombia,5312.20,,,
Comoros,1407.41,,,
Cabo Verde,3064.27,,,
Costa Rica,12201.93,,,
Caribbean small states,8857.87,,,
Cuba,9477.85,,,
Curacao,16109.86,,,
Cayman Islands,85346.76,,,
Cyprus,27681.57,,,
Czechia,22933.50,,,
Germany,46252.69,,,
Djibouti,3219.70,,,
Dominica,7003.86,,,
Denmark,61063.32,,,
Dominican Republic,7268.20,,,
Algeria,3306.86,,,
East Asia & Pacific (excluding high income),8270.46,,,
Early-demographic dividend,3253.71,,,
East Asia & Pacific,11483.60,,,
Europe & Central Asia (excluding high income),7435.16,,,
Europe & Central Asia,23981.02,,,
Ecuador,5627.77,,,
"Egypt, Arab Rep.",3569.21,,,
Euro area,38012.67,,,
Eritrea,,,,
Spain,27056.42,,,
Estonia,23054.36,,,
Ethiopia,936.45,,,
European Union,34191.83,,,
Fragile and conflict affected situations,1743.37,,,
Finland,49160.84,,,
Fiji,5102.84,,,
France,39037.12,,,
Faroe Islands,66320.68,,,
"Micronesia, Fed. Sts.",3542.97,,,
Gabon,6881.71,,,
United Kingdom,41098.08,,,
Georgia,4255.74,,,
Ghana,2254.15,,,
Gibraltar,,,,
Guinea,1078.95,,,
"Gambia, The",757.41,,,
Guinea-Bissau,727.52,,,
Equatorial Guinea,7198.34,,,
Greece,17647.23,,,
Grenada,9273.20,,,
Greenland,54570.38,,,
Guatemala,4603.34,,,
Guam,34624.34,,,
Guyana,6955.94,,,
High income,43282.42,,,
"Hong Kong SAR, China",46100.98,,,
Honduras,2405.73,,,
Heavily indebted poor countries (HIPC),975.47,,,
Croatia,14132.49,,,
Haiti,1272.37,,,
Hungary,16075.97,,,
IBRD only,6176.40,,,
IDA & IBRD total,4925.38,,,
IDA total,1365.05,,,
IDA blend,1740.60,,,
Indonesia,3870.56,,,
IDA only,1175.59,,,
Isle of Man,,,,
India,1933.10,,,
Not classified,,,,
Ireland,85422.54,,,
"Iran, Islamic Rep.",2756.75,,,
Iraq,4583.75,,,
Iceland,59264.03,,,
Israel,44177.57,,,
Italy,31834.97,,,
Jamaica,4664.53,,,
Jordan,4282.77,,,
Japan,39918.17,,,
Kazakhstan,9121.64,,,
Kenya,1872.12,,,
Kyrgyz Republic,1182.52,,,
Cambodia,1547.51,,,
Kiribati,1514.59,,,
St. Kitts and Nevis,18440.85,,,
"Korea, Rep.",31597.50,,,
Kuwait,24811.77,,,
Latin America & Caribbean (excluding high income),6765.53,,,
Lao PDR,2608.98,,,
Lebanon,3801.79,,,
Liberia,601.06,,,
Libya,7614.33,,,
St. Lucia,8804.56,,,
Latin America & Caribbean,7270.70,,,
Least developed countries: UN classification,1099.20,,,
Low income,703.73,,,
Liechtenstein,,,,
Sri Lanka,3694.04,,,
Lower middle income,2285.71,,,
Low & middle income,4759.78,,,
Lesotho,1050.63,,,
Late-demographic dividend,9699.09,,,
Lithuania,20232.30,,,
Luxembourg,116356.16,,,
Latvia,17703.95,,,
"Macao SAR, China",39403.14,,,
St. Martin (French part),,,,
Morocco,3058.69,,,
Monaco,173688.19,,,
Moldova,4525.76,,,
Madagascar,477.61,,,
Maldives,6924.11,,,
Middle East & North Africa,6688.09,,,
Mexico,8431.67,,,
Marshall Islands,4129.85,,,
Middle income,5237.02,,,
North Macedonia,5846.47,,,
Mali,862.45,,,
Malta,28946.46,,,
Myanmar,1450.66,,,
Middle East & North Africa (excluding high income),3190.33,,,
Montenegro,7694.63,,,
Mongolia,4060.95,,,
Northern Mariana Islands,,,,
Mozambique,448.84,,,
Mauritania,1702.49,,,
Mauritius,8632.75,,,
Malawi,636.29,,,
Malaysia,10412.35,,,
North America,61000.86,,,
Namibia,4157.02,,,
New Caledonia,34694.55,,,
Niger,567.67,,,
Nigeria,2097.09,,,
Nicaragua,1900.04,,,
Netherlands,52396.03,,,
Norway,67329.68,,,
Nepal,1147.47,,,
Nauru,10580.27,,,
New Zealand,41596.51,,,
OECD members,38116.42,,,
Oman,14485.39,,,
Other small states,11792.07,,,
Pakistan,1359.51,,,
Panama,12509.84,,,
Peru,6117.49,,,
Philippines,3301.22,,,
Palau,14243.86,,,
Papua New Guinea,2757.01,,,
Poland,15742.45,,,
Pre-demographic dividend,1349.15,,,
Puerto Rico,31429.87,,,
"Korea, Dem. People's Rep.",,,,
Portugal,22194.57,,,
Paraguay,4967.69,,,
West Bank and Gaza,3233.57,,,
Pacific island small states,3785.50,,,
Post-demographic dividend,44330.31,,,
French Polynesia,20182.58,,,
Qatar,50124.39,,,
Romania,12956.57,,,
Russian Federation,10161.98,,,
Rwanda,786.30,,,
South Asia,1875.44,,,
Saudi Arabia,20203.67,,,
Sudan,615.46,,,
Senegal,1462.81,,,
Singapore,60729.45,,,
Solomon Islands,2250.60,,,
Sierra Leone,509.38,,,
El Salvador,3798.64,,,
San Marino,45515.76,,,
Somalia,438.26,,,
Serbia,7730.69,,,
Sub-Saharan Africa (excluding high income),1500.85,,,
South Sudan,,,,
Sub-Saharan Africa,1501.78,,,
Small states,10787.67,,,
Sao Tome and Principe,2157.84,,,
Suriname,4916.61,,,
Slovak Republic,19266.51,,,
Slovenia,25489.50,,,
Sweden,52300.21,,,
Eswatini,3434.72,,,
Sint Maarten (Dutch part),,,,
Seychelles,12193.89,,,
Syrian Arab Republic,,,,
Turks and Caicos Islands,23879.93,,,
Chad,652.35,,,
East Asia & Pacific (IDA & IBRD countries),8361.94,,,
Europe & Central Asia (IDA & IBRD countries),8406.89,,,
Togo,914.95,,,
Thailand,7158.77,,,
Tajikistan,852.83,,,
Turkmenistan,,,,
Latin America & the Caribbean (IDA & IBRD countries),7062.48,,,
Timor-Leste,1442.73,,,
Middle East & North Africa (IDA & IBRD countries),3189.80,,,
Tonga,4624.82,,,
South Asia (IDA & IBRD),1875.44,,,
Sub-Saharan Africa (IDA & IBRD countries),1501.78,,,
Trinidad and Tobago,15285.94,,,
Tunisia,3597.22,,,
Turkiye,8536.43,,,
Tuvalu,4668.82,,,
Tanzania,1076.47,,,
Uganda,822.03,,,
Ukraine,3751.74,,,
Upper middle income,9166.46,,,
Uruguay,15418.82,,,
United States,63027.68,,,
Uzbekistan,1749.66,,,
St. Vincent and the Grenadines,7860.82,,,
"Venezuela, RB",,,,
British Virgin Islands,,,,
Virgin Islands (U.S.),39552.17,,,
Vietnam,3526.27,,,
Vanuatu,2919.84,,,
World,10936.06,,,
Samoa,4068.08,,,
Kosovo,4310.81,,,
"Yemen, Rep.",631.68,,,
South Africa,5655.87,,,
Zambia,985.13,,,
Zimbabwe,1214.51,,,
